id,fname,SMILES,first_triplet,first_singlet,dipole_moment
86,electronic_prop_molecule_3778.dat,Fc1coc(-c2cnc(-c3oc(-c4oc5cc6c(F)coc6cc5c4F)c(F)c3F)c3nonc23)c1F,2.067,2.682,4.78396
87,electronic_prop_molecule_4017.dat,CSc1c2oc(-c3ccc(-c4ncc(-c5cccn5C)c5nn(C)nc45)n3C)c(F)c2c(SC)c2occ(F)c12,2.545,2.991,6.45785
88,electronic_prop_molecule_4771.dat,COc1c2c(C)c(-c3oc(-c4ncc(-c5occ(SC)c5SC)c5nonc45)c(SC)c3SC)n(C)c2c(OC)c2c(C)cn(C)c12,1.887,2.493,3.88638
89,electronic_prop_molecule_268.dat,COc1c(SC)cc(-c2nc3ccc(F)c(-c4cc5oc6c(F)coc6c5s4)c3nc2-c2cccc(F)c2)cc1SC,2.616,3.075,3.43867
90,electronic_prop_molecule_2300.dat,COc1cc(C)cc(-c2c3cc(-c4c(F)c(F)c(-c5c(SC)c(SC)c(-c6sc(-c7sc8c(-c9cc(C)cc(OC)c9)c9cc(-c%10c(F)c(F)c(-c%11c(SC)c(SC)c(-c%12scc(F)c%12OC)c%12nc(C)c(F)nc%11%12)n%10C)sc9c(-c9cc(F)cc(SC)c9)c8c7C)c(F)c6OC)c6nc(C)c(F)nc56)n4C)sc3c(-c3cc(F)cc(SC)c3)c3c(C)csc23)c1,2.716,2.924,7.60852
91,electronic_prop_molecule_1609.dat,COc1ccc(-c2nc3c(-c4sc(-c5sccc5C)cc4OC)c(F)c(OC)cc3nc2-c2ccc(F)c(C)c2)cc1C,3.213,3.504,2.97956
92,electronic_prop_molecule_6.dat,COc1cc(-c2nc3c(-c4c(F)c5scc(SC)c5n4C)c(C)c(SC)c(-c4cc5c(s4)c(F)c(-c4cc6c([se]4)-c4oc(-c7sc8c(F)c(-c9c(C)c(SC)c(-c%10cc%11c(s%10)c(F)c(-c%10cc%12c([se]%10)-c%10occc%10[SiH2]%12)n%11C)c%10nc(-c%11cc(C)cc(C)c%11)c(-c%11ccc(C)c(OC)c%11)nc9%10)n(C)c8c7SC)cc4[SiH2]6)n5C)c3nc2-c2cc(C)cc(C)c2)ccc1C,2.188,2.405,6.92642
93,electronic_prop_molecule_4759.dat,COc1cn(C)c2c(OC)c3c(OC)c(-c4c(SC)c(SC)c(-c5ncc(-c6c(SC)c(SC)cn6C)c6nn(C)nc56)n4C)n(C)c3c(OC)c12,2.834,3.261,4.47488
94,electronic_prop_molecule_3036.dat,COc1csc(-c2cc(F)c(-c3oc(-c4cc5[nH]c6cc[se]c6c5s4)c(F)c3F)c3ncc(SC)nc23)c1C,2.415,2.484,5.07873
95,electronic_prop_molecule_240.dat,COc1cc(-c2oc(-c3oc(-c4cc(SC)cs4)c4c3C(=O)c3c(OC)[se]c(C)c3C4=O)cc2F)oc1-c1sccc1SC,2.506,2.938,5.55635
96,electronic_prop_molecule_4981.dat,COc1csc2c(OC)c3c(OC)c(-c4ncc(-c5sc6c(OC)c7c(OC)c(-c8nccc9nsnc89)sc7c(OC)c6c5OC)c5nsnc45)sc3c(OC)c12,1.822,2.322,1.77482
97,electronic_prop_molecule_2328.dat,COc1c(F)csc1-c1c(SC)c(SC)c(-c2c(F)c(F)c(-c3oc(-c4cccs4)cc3C)n2C)c2nc(F)c(C)nc12,2.903,3.142,5.56149
98,electronic_prop_molecule_1621.dat,COc1c(C)c(-c2c(F)c(F)c(-c3occ(SC)c3SC)c3nccnc23)n(C)c1-c1c(OC)c2scc(C)c2n1C,2.852,3.152,1.54817
99,electronic_prop_molecule_1147.dat,COc1coc2cc(-c3c(SC)cc(-c4oc5cc(-c6oc7c(OC)c8c(C)coc8c(F)c7c6F)oc5c4SC)c4nc(SC)cnc34)oc12,2.155,2.579,5.39506
